Company_Name,delivery_volumens,2021-11-12,2021-11-15,2021-11-16,2021-11-17
MRPL,39414,39414,23696,38485,45451
Mah Scooters,236,236,444,234,387
Mah Seamless,4702,4702,14211,33502,12433
Mahanagar Gas,6913,6913,6927,12902,5702
Mahindra CIE,4809,4809,13119,7918,41290
Mahindra Holida,65638,65638,35373,16186,21685
Mahindra Life,1091,1091,2545,5157,9375
Mahindra Logist,1820,1820,6688,1154,6201
Manappuram Fin,89640,89640,20972,218734,253738
Marico,87243,87243,15538,47393,46082
Maruti Suzuki,16842,16842,8843,10018,46555
Max Financial,5677,5677,1556,1371,17738
Max Healthcare,13728,13728,17470,189899,63527
Mazagon Dock,20365,20365,23208,12515,7379
Metropolis,12118,12118,986,12645,434582
Minda Corp,14952,14952,18450,33333,58656
Minda Ind,8338,8338,40498,9693,6292
Mindtree,17330,17330,26787,4185,7848
Mishra Dhatu Ni,22927,22927,18512,5451,8643
Motherson Sumi,101233,101233,172858,245519,274689
Motilal Oswal,10030,10030,4063,15758,1943
MphasiS,5650,5650,8512,4186,4117
Muthoot Finance,25106,25106,3003,4971,7801
NALCO,410653,410653,1033419,445261,660746
NBCC (India),189960,189960,285988,72337,297167
NCC,92080,92080,167283,511423,105047
NESCO,759,759,4993,4463,571
NHPC,194551,194551,358065,145352,1027556
NLC India,124597,124597,395432,259100,155793
NMDC,224030,224030,286405,153447,292075
NOCIL,20697,20697,40435,29312,22467
NTPC,137826,137826,1093168,63448,80290
Narayana Hruda,19429,19429,5166,11460,13383
Natco Pharma,9386,9386,4812,5878,1321
Navin Fluorine,2017,2017,1649,3762,946
Navneet,24268,24268,24033,11585,3880
Nestle,604,604,1070,2499,441
Network 18,42646,42646,109267,164003,104912
New India Assur,36672,36672,20095,12907,10947
Nilkamal,289,289,321,384,343
Nippon,7624,7624,4199,13649,14704
ONGC,70229,70229,177628,815263,303808
Oberoi Realty,20941,20941,14184,3888,15955
Oil India,32473,32473,36755,34419,28219
Oracle Fin Serv,420,420,1566,1578,1669
Orient Cement,32624,32624,44084,49242,16975
Orient Electric,12052,12052,4347,32205,4368
